field,score
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,644
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_3",643
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.data_2,642
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.type_1,641
tcp_tcp.flags_4,640
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_tls.handshake.extensions_ec_point_format_3,639
eth_eth.dst_tree_eth.lg_3,638
eth_eth.dst_tree_eth.dst.oui_resolved_3,637
frame_frame.marked_2,636
tcp_tcp.flags_tree_tcp.flags.push_3,635
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_2,634
frame_frame.offset_shift_0,633
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.len_1,632
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_tls.handshake.extensions_ec_point_format_4,631
tcp_tcp.seq_raw_1,630
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.len_3,629
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_3,628
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,627
eth_eth.dst_tree_eth.dst.oui_resolved_2,626
frame_frame.time_epoch_1,625
eth_eth.src_tree_eth.src.lg_4,624
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.data_3,623
ip_ip.dsfield_tree_ip.dsfield.ecn_4,622
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.type_2,621
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.len_4,620
ip_ip.ttl_3,619
ip_ip.dsfield_tree_ip.dsfield.dscp_2,618
tls_tls.record_tls.handshake_Extension: server_name (len=30)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,617
eth_eth.src_tree_eth.addr.oui_1,616
tls_tls.record_tls.handshake_Extension: application_layer_protocol_negotiation (len=14)_tls.handshake.extensions_alpn_list_tls.handshake.extensions_alpn_str_len_2,615
ip_ip.id_1,614
ip_ip.checksum_4,613
tcp_tcp.flags_tree_tcp.flags.syn_3,612
tcp_tcp.flags_tree_tcp.flags.ecn_2,611
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.len_4,610
tcp_tcp.flags_tree_tcp.flags.cwr_2,609
tcp_tcp.flags_tree_tcp.flags.ack_3,608
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_4,607
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_1,606
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.type_1,605
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.len_1,604
ip_ip.ttl_0,603
frame_frame.time_epoch_4,602
tcp_tcp.flags_tree_tcp.flags.ack_2,601
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.len_4,600
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,599
http_GET / HTTP/1.1\r\n_http.request.uri_0,598
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,597
tcp_tcp.flags_tree_tcp.flags.ecn_4,596
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.type_3,595
tls_tls.record_tls.handshake_tls.handshake.comp_methods_tls.handshake.comp_method_2,594
tls_tls.record_tls.handshake_tls.handshake.ja3_2,593
tcp_tcp.seq_2,592
tls_tls.record_tls.handshake_Extension: server_name (len=30)_tls.handshake.extension.len_2,591
tcp_tcp.analysis_tcp.analysis.push_bytes_sent_0,590
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.type_4,589
eth_eth.src_tree_eth.addr_2,588
tcp_tcp.flags_tree_tcp.flags.ece_2,587
eth_eth.src_tree_eth.lg_2,586
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,585
eth_eth.dst_tree_eth.lg_1,584
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,583
frame_frame.time_epoch_2,582
ip_ip.flags_tree_ip.flags.rb_2,581
tcp_tcp.checksum.status_4,580
eth_eth.src_tree_eth.src.lg_0,579
ip_ip.checksum_2,578
frame_frame.ignored_1,577
ip_ip.dsfield_2,576
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.len_2,575
tcp_tcp.flags_tree_tcp.flags.cwr_1,574
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_1,573
eth_eth.src_tree_eth.src_resolved_4,572
tls_tls.record_tls.handshake_tls.handshake.ja3_full_3,571
eth_eth.type_2,570
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_4,569
eth_eth.dst_tree_eth.dst.oui_resolved_1,568
tcp_tcp.hdr_len_0,567
frame_frame.encap_type_1,566
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_1,565
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_length_2",564
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_length_1,563
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,562
ip_ip.flags_1,561
eth_eth.src_tree_eth.src.ig_3,560
tcp_tcp.completeness_1,559
eth_eth.src_1,558
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,557
